"Security","Symbol","NameOfStock"
"Teledyne Technologies","TDY","Teledyne Technologies,TDY"
"Teleflex","TFX","Teleflex,TFX"
"Teradyne","TER","Teradyne,TER"
"Tesla, Inc.","TSLA","Tesla, Inc.,TSLA"
"Texas Instruments","TXN","Texas Instruments,TXN"
"Textron","TXT","Textron,TXT"
"Thermo Fisher Scientific","TMO","Thermo Fisher Scientific,TMO"
"TJX Companies","TJX","TJX Companies,TJX"
"Tractor Supply","TSCO","Tractor Supply,TSCO"
"Trane Technologies","TT","Trane Technologies,TT"
"TransDigm Group","TDG","TransDigm Group,TDG"
"The Travelers Companies","TRV","The Travelers Companies,TRV"
"Trimble Inc.","TRMB","Trimble Inc.,TRMB"
"Truist","TFC","Truist,TFC"
"Tyler Technologies","TYL","Tyler Technologies,TYL"
"Tyson Foods","TSN","Tyson Foods,TSN"
"U.S. Bank","USB","U.S. Bank,USB"
"UDR, Inc.","UDR","UDR, Inc.,UDR"
"Ulta Beauty","ULTA","Ulta Beauty,ULTA"
"Union Pacific Corporation","UNP","Union Pacific Corporation,UNP"
"United Airlines Holdings","UAL","United Airlines Holdings,UAL"
"United Parcel Service","UPS","United Parcel Service,UPS"
"United Rentals","URI","United Rentals,URI"
"UnitedHealth Group","UNH","UnitedHealth Group,UNH"
"Universal Health Services","UHS","Universal Health Services,UHS"
"Valero Energy","VLO","Valero Energy,VLO"
"Ventas","VTR","Ventas,VTR"
"Verisign","VRSN","Verisign,VRSN"
"Verisk","VRSK","Verisk,VRSK"
"Verizon","VZ","Verizon,VZ"
"Vertex Pharmaceuticals","VRTX","Vertex Pharmaceuticals,VRTX"
"VF Corporation","VFC","VF Corporation,VFC"
"Viatris","VTRS","Viatris,VTRS"
"Vici Properties","VICI","Vici Properties,VICI"
"Visa Inc.","V","Visa Inc.,V"
"Vornado Realty Trust","VNO","Vornado Realty Trust,VNO"
"Vulcan Materials Company","VMC","Vulcan Materials Company,VMC"
"Wabtec","WAB","Wabtec,WAB"
"Walgreens Boots Alliance","WBA","Walgreens Boots Alliance,WBA"
"Walmart","WMT","Walmart,WMT"
"Warner Bros. Discovery","WBD","Warner Bros. Discovery,WBD"
"Waste Management","WM","Waste Management,WM"
"Waters Corporation","WAT","Waters Corporation,WAT"
"WEC Energy Group","WEC","WEC Energy Group,WEC"
"Wells Fargo","WFC","Wells Fargo,WFC"
"Welltower","WELL","Welltower,WELL"
"West Pharmaceutical Services","WST","West Pharmaceutical Services,WST"
"Western Digital","WDC","Western Digital,WDC"
"WestRock","WRK","WestRock,WRK"
"Weyerhaeuser","WY","Weyerhaeuser,WY"
"Whirlpool Corporation","WHR","Whirlpool Corporation,WHR"
"Williams Companies","WMB","Williams Companies,WMB"
"Willis Towers Watson","WTW","Willis Towers Watson,WTW"
"W. W. Grainger","GWW","W. W. Grainger,GWW"
"Wynn Resorts","WYNN","Wynn Resorts,WYNN"
"Xcel Energy","XEL","Xcel Energy,XEL"
"Xylem Inc.","XYL","Xylem Inc.,XYL"
"Yum! Brands","YUM","Yum! Brands,YUM"
"Zebra Technologies","ZBRA","Zebra Technologies,ZBRA"
"Zimmer Biomet","ZBH","Zimmer Biomet,ZBH"
"Zions Bancorporation","ZION","Zions Bancorporation,ZION"
"Zoetis","ZTS","Zoetis,ZTS"
